state_name,ZEV Mandates,Population in 2010,PR in 2010,At risk in 2010,Population in 2019,PR in 2019,At risk in 2019,Change (%)
District Of Columbia,No,101265,17.40,83642,128168,11.64,113253,35.4
North Dakota,No,150410,9.06,136786,180171,7.32,166983,22.1
South Dakota,No,203209,9.06,184802,217101,7.32,201210,8.9
Texas,No,6877724,7.56,6357486,7399810,6.80,6896268,8.5
Utah,No,874022,6.88,813920,931184,5.71,878028,7.9
Florida,No,3997512,7.37,3703033,4229929,6.65,3948431,6.6
Idaho,No,429231,9.06,390351,448201,7.32,415394,6.4
Nevada,No,663320,8.57,606497,692639,7.82,638474,5.3
South Carolina,No,1079475,9.06,981696,1111183,7.32,1029847,4.9
Colorado,No,1227213,9.06,1116052,1259519,7.32,1167325,4.6
Washington,No,1582798,6.01,1487609,1663061,6.75,1550764,4.2
Nebraska,No,459739,6.08,431764,476074,6.20,446546,3.4
North Carolina,No,2281404,9.06,2074755,2300715,7.32,2132309,2.8
Hawaii,No,303872,11.03,270365,299868,7.43,277590,2.7
Montana,No,223389,6.89,208001,228588,6.69,213286,2.5
Virginia,No,1854866,9.06,1686853,1860848,7.32,1724639,2.2
Oklahoma,No,931605,9.99,838519,952238,9.99,857091,2.2
Arizona,No,1626330,9.38,1473838,1640236,8.49,1501050,1.8
Minnesota,No,1283281,5.27,1215612,1303157,5.11,1236625,1.7
Iowa,No,728224,9.06,662262,726841,7.32,673638,1.7
Tennessee,No,1494703,8.98,1360533,1510051,8.98,1374503,1.0
Delaware,No,205519,9.06,186903,203572,7.32,188671,0.9
Oregon,Yes,866026,7.54,800708,866562,6.87,807010,0.8
Wyoming,No,135486,9.06,123214,133734,7.32,123945,0.6
Missouri,No,1423978,10.91,1268619,1370585,6.94,1275422,0.5
Arkansas,No,711624,9.06,647165,700155,7.32,648905,0.3
Maryland,Yes,1352627,11.83,1192676,1334687,10.49,1194739,0.2
Indiana,No,1606162,8.88,1463479,1567974,6.71,1462829,-0.0
Wisconsin,No,1336986,8.88,1218226,1266597,4.11,1214573,-0.3
Georgia,No,2489665,8.99,2265912,2503881,10.08,2251506,-0.6
Kentucky,No,1023533,10.62,914873,1002871,10.20,900605,-1.6
Alabama,No,1130433,9.06,1028039,1088306,7.32,1008645,-1.9
Alaska,No,187995,9.06,170966,179983,7.32,166809,-2.4
Louisiana,No,1117831,8.29,1025181,1087630,8.15,999010,-2.6
Massachusetts,Yes,1417502,9.06,1289105,1352800,7.32,1253778,-2.7
Pennsylvania,No,2786424,9.51,2521354,2634613,7.93,2425776,-3.8
California,Yes,9280492,7.50,8584850,8894641,7.32,8243953,-4.0
Michigan,No,2334175,11.17,2073436,2143933,7.77,1977383,-4.6
Kansas,No,727489,7.53,672721,700250,8.68,639495,-4.9
New York,Yes,4319802,9.06,3928515,4028299,7.32,3733438,-5.0
Ohio,No,2723148,7.75,2512220,2578019,7.70,2379401,-5.3
Rhode Island,Yes,223489,11.67,197402,204495,8.67,186775,-5.4
New Jersey,Yes,2061666,9.01,1875862,1938578,8.63,1771201,-5.6
New Mexico,No,518510,7.98,477142,475838,5.44,449961,-5.7
Mississippi,No,753561,8.70,688037,698583,7.64,645234,-6.2
Illinois,No,3123233,9.75,2818769,2817875,6.90,2623503,-6.9
Connecticut,Yes,814365,11.23,722922,727440,8.76,663694,-8.2
West Virginia,No,387242,6.54,361920,359567,7.76,331664,-8.4
New Hampshire,No,285920,9.04,260073,255253,7.24,236777,-9.0
Vermont,Yes,128792,9.94,115986,114005,8.11,104763,-9.7
Maine,Yes,273399,7.67,252425,248842,9.35,225573,-10.6
